,CustomerID,Date,State
0,UID0,2013-01-31,0
1,UID0,2013-02-28,0
2,UID0,2013-03-31,0
3,UID0,2013-04-30,0
4,UID0,2013-05-31,0
5,UID0,2013-06-30,0
6,UID0,2013-07-31,0
7,UID0,2013-08-31,0
8,UID0,2013-09-30,0
9,UID0,2013-10-31,0
10,UID0,2013-11-30,0
11,UID0,2013-12-31,0
12,UID0,2014-01-31,0
13,UID0,2014-02-28,0
14,UID0,2014-03-31,0
15,UID0,2014-04-30,0
16,UID0,2014-05-31,0
17,UID0,2014-06-30,0
18,UID0,2014-07-31,0
19,UID0,2014-08-31,0
20,UID0,2014-09-30,0
21,UID0,2014-10-31,0
22,UID0,2014-11-30,0
23,UID0,2014-12-31,0
24,UID0,2015-01-31,0
25,UID0,2015-02-28,0
26,UID0,2015-03-31,0
27,UID0,2015-04-30,0
28,UID0,2015-05-31,0
29,UID0,2015-06-30,0
30,UID0,2015-07-31,0
31,UID0,2015-08-31,0
32,UID0,2015-09-30,0
33,UID0,2015-10-31,0
34,UID0,2015-11-30,0
35,UID0,2015-12-31,0
36,UID0,2016-01-31,0
37,UID0,2016-02-29,0
38,UID0,2016-03-31,0
39,UID0,2016-04-30,0
40,UID0,2016-05-31,0
41,UID0,2016-06-30,0
42,UID0,2016-07-31,0
43,UID0,2016-08-31,0
44,UID0,2016-09-30,0
45,UID0,2016-10-31,0
46,UID0,2016-11-30,0
47,UID0,2016-12-31,0
48,UID1,2013-01-31,1
49,UID1,2013-02-28,1
50,UID1,2013-03-31,1
51,UID1,2013-04-30,0
52,UID1,2013-05-31,0
53,UID1,2013-06-30,0
54,UID1,2013-07-31,0
55,UID1,2013-08-31,0
56,UID1,2013-09-30,1
57,UID1,2013-10-31,1
58,UID1,2013-11-30,0
59,UID1,2013-12-31,0
60,UID1,2014-01-31,0
61,UID1,2014-02-28,0
62,UID1,2014-03-31,0
63,UID1,2014-04-30,0
64,UID1,2014-05-31,0
65,UID1,2014-06-30,1
66,UID1,2014-07-31,2
67,UID1,2014-08-31,3
68,UID1,2014-09-30,4
69,UID1,2014-10-31,5
70,UID1,2014-11-30,5
71,UID1,2014-12-31,6
72,UID1,2015-01-31,6
